"lp","cond","age","gender","jc1","jc2","jc3","jc4","jc5","rc1","rc2","rc3","rc4","rc5","gc1","gc2","gc3","gc4","gc5","cm1","cm2","cm3","cm4","cm5","jc_mean","rc_mean","gc_mean","cm_mean"
147,"baseline",23,"m",4,1,2,1,3,5,4,3,4,4,5,1,1,2,5,1,3,1,3,1,2.2,4,2.8,1.8
148,"meaninglessness",21,"m",4,5,5,3,4,5,5,5,3,4,2,4,4,3,2,2,5,4,4,5,4.2,4.4,3,4
149,"meaninglessness",21,"m",1,1,1,1,1,-999,-999,-999,-999,-999,1,1,1,1,1,1,3,1,1,1,1,-999,1,1.4
150,"meaninglessness",21,"m",2,2,4,3,3,4,5,5,3,4,5,3,4,3,5,3,4,3,4,4,2.8,4.2,4,3.6
151,"baseline",21,"k",4,1,2,1,4,5,4,4,-999,5,5,3,3,4,5,3,4,4,4,3,2.4,4.5,4,3.6
152,"meaninglessness",24,"k",2,2,2,1,2,4,3,3,4,4,4,3,3,2,3,2,2,2,2,2,1.8,3.6,3,2
153,"meaninglessness",21,"k",-999,-999,-999,-999,-999,4,4,4,4,4,-999,-999,-999,-999,-999,2,2,2,2,2,-999,4,-999,2
154,"meaninglessness",20,"k",2,2,2,1,2,4,3,2,3,3,4,2,2,2,5,2,2,2,2,2,1.8,3,3,2
155,"powerlessness",21,"m",5,5,5,4,4,5,4,4,2,1,5,4,4,2,1,2,4,2,2,4,4.6,3.2,3.2,2.8
156,"baseline",20,"k",3,2,4,2,3,5,5,3,4,4,5,2,3,4,4,2,3,1,1,3,2.8,4.2,3.6,2
157,"powerlessness",21,"m",5,5,5,5,5,2,5,4,2,3,4,4,4,4,4,5,5,5,5,5,5,3.2,4,5
158,"powerlessness",21,"m",5,5,5,1,5,5,5,5,4,5,5,5,5,1,3,5,5,5,5,5,4.2,4.8,3.8,5
159,"powerlessness",21,"m",1,1,1,1,4,4,3,3,2,4,3,2,2,2,5,3,3,2,2,2,1.6,3.2,2.8,2.4
160,"meaninglessness",24,"m",1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,1.6,1,2.4
161,"powerlessness",21,"m",2,4,4,1,4,2,4,4,2,4,3,4,4,1,4,2,4,1,1,1,3,3.2,3.2,1.8
162,"powerlessness",22,"k",2,2,3,1,1,2,2,3,2,2,2,2,2,1,3,3,4,3,3,3,1.8,2.2,2,3.2
163,"meaninglessness",21,"m",1,2,2,1,1,4,4,4,3,4,5,2,2,1,5,2,2,1,1,1,1.4,3.8,3,1.4
164,"baseline",21,"m",1,1,1,1,2,4,3,4,1,4,4,3,3,1,4,2,5,3,4,2,1.2,3.2,3,3.2
165,"powerlessness",25,"k",2,2,2,2,2,4,4,4,3,5,4,2,2,2,4,3,3,3,3,3,2,4,2.8,3
166,"baseline",40,"m",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.2,1
167,"baseline",21,"m",1,1,1,1,1,2,4,4,3,5,2,3,3,1,4,3,2,1,1,1,1,3.6,2.6,1.6
168,"powerlessness",24,"m",5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,5
169,"powerlessness",21,"m",3,4,4,4,4,5,2,2,5,4,5,2,4,3,5,2,4,2,1,3,3.8,3.6,3.8,2.4
170,"meaninglessness",20,"k",1,1,1,1,2,4,3,2,4,1,4,1,1,1,2,3,4,3,3,3,1.2,2.8,1.8,3.2
171,"meaninglessness",23,"k",1,4,5,1,1,5,5,5,3,4,4,5,5,3,4,2,4,3,4,2,2.4,4.4,4.2,3
172,"powerlessness",21,"m",5,5,5,5,5,5,5,2,5,4,5,5,4,5,5,4,4,4,4,3,5,4.2,4.8,3.8
